,BVP_1
6200,6.09
6201,-0.12
6202,-6.19
6203,-12.08
6204,-17.83
6205,-23.44
6206,-28.81
6207,-33.75
6208,-38.09
6209,-41.8
6210,-45.09
6211,-48.42
6212,-52.5
6213,-58.1
6214,-65.7
6215,-75.07
6216,-84.9
6217,-92.83
6218,-95.96
6219,-91.83
6220,-79.38
6221,-59.53
6222,-34.94
6223,-9.16
6224,14.53
6225,33.98
6226,48.37
6227,57.85
6228,62.94
6229,64.1
6230,61.77
6231,56.55
6232,49.55
6233,42.31
6234,36.43
6235,33.03
6236,32.38
6237,33.83
6238,36.18
6239,38.16
6240,38.89
6241,38.15
6242,36.16
6243,33.39
6244,30.18
6245,26.66
6246,22.71
6247,18.15
6248,12.86
6249,6.86
6250,0.34
6251,-6.48
6252,-13.28
6253,-19.75
6254,-25.61
6255,-30.61
6256,-34.64
6257,-37.83
6258,-40.6
6259,-43.62
6260,-47.69
6261,-53.56
6262,-61.53
6263,-71.08
6264,-80.65
6265,-87.8
6266,-89.73
6267,-84.3
6268,-70.77
6269,-50.31
6270,-25.7
6271,-0.43
6272,22.36
6273,40.66
6274,53.8
6275,62.03
6276,65.92
6277,65.97
6278,62.57
6279,56.34
6280,48.42
6281,40.46
6282,34.24
6283,31.01
6284,30.96
6285,33.2
6286,36.1
6287,38.08
6288,38.22
6289,36.49
6290,33.57
6291,30.26
6292,26.96
6293,23.47
6294,19.12
6295,13.28
6296,5.72
6297,-3.07
6298,-12.11
6299,-20.31
6300,-26.92
6301,-31.83
6302,-35.58
6303,-38.99
6304,-42.88
6305,-47.83
6306,-54.08
6307,-61.63
6308,-70.1
6309,-78.58
6310,-85.48
6311,-88.61
6312,-85.72
6313,-75.34
6314,-57.5
6315,-34.08
6316,-8.31
6317,16.22
6318,36.69
6319,51.72
6320,61.36
6321,66.51
6322,68.16
6323,66.95
6324,63.27
6325,57.58
6326,50.84
6327,44.44
6328,39.87
6329,38.09
6330,39.04
6331,41.61
6332,44.08
6333,44.9
6334,43.28
6335,39.47
6336,34.41
6337,29.23
6338,24.57
6339,20.32
6340,15.8
6341,10.17
6342,3.01
6343,-5.42
6344,-14.2
6345,-22.18
6346,-28.46
6347,-32.83
6348,-35.83
6349,-38.47
6350,-41.9
6351,-46.92
6352,-53.89
6353,-62.62
6354,-72.34
6355,-81.7
6356,-88.76
6357,-91.3
6358,-87.24
6359,-75.43
6360,-56.19
6361,-31.54
6362,-4.67
6363,20.84
6364,42.16
6365,57.77
6366,67.57
6367,72.41
6368,73.43
6369,71.66
6370,67.88
6371,62.8
6372,57.2
6373,52.01
6374,48.1
6375,46.03
6376,45.85
6377,47.03
6378,48.67
6379,49.78
6380,49.57
6381,47.61
6382,43.92
6383,38.91
6384,33.17
6385,27.32
6386,21.75
6387,16.54
6388,11.41
6389,5.93
6390,-0.17
6391,-6.87
6392,-13.74
6393,-20.18
6394,-25.67
6395,-30.05
6396,-33.56
6397,-36.72
6398,-40.07
6399,-44
6400,-48.76
6401,-54.56
6402,-61.63
6403,-69.96
6404,-78.89
6405,-86.79
6406,-91.13
6407,-89.11
6408,-78.77
6409,-59.96
6410,-34.66
6411,-6.52
6412,20.32
6413,42.57
6414,58.62
6415,68.54
6416,73.49
6417,74.85
6418,73.6
6419,70.23
6420,65.12
6421,58.88
6422,52.57
6423,47.41
6424,44.39
6425,43.82
6426,45.16
6427,47.29
6428,48.91
6429,49.06
6430,47.36
6431,43.97
6432,39.43
6433,34.28
6434,28.89
6435,23.41
6436,17.78
6437,11.93
6438,5.84
6439,-0.37
6440,-6.5
6441,-12.32
6442,-17.67
6443,-22.55
6444,-27.05
6445,-31.31
6446,-35.4
6447,-39.33
6448,-43.09
6449,-46.85
6450,-51.04
6451,-56.32
6452,-63.23
6453,-71.7
6454,-80.54
6455,-87.43
6456,-89.49
6457,-84.23
6458,-70.67
6459,-49.91
6460,-24.86
6461,0.66
6462,23.22
6463,40.67
6464,52.47
6465,59.19
6466,61.78
6467,60.96
6468,57.2
6469,50.94
6470,43.14
6471,35.28
6472,29.12
6473,26.01
6474,26.34
6475,29.28
6476,33.14
6477,36.12
6478,36.96
6479,35.38
6480,32.01
6481,27.88
6482,23.85
6483,20.15
6484,16.42
6485,11.98
6486,6.3
6487,-0.65
6488,-8.31
6489,-15.76
6490,-22.21
6491,-27.24
6492,-31.01
6493,-34.08
6494,-37.09
6495,-40.55
6496,-44.75
6497,-49.85
6498,-55.99
6499,-63.17
6500,-70.91
6501,-77.91
6502,-82.09
6503,-81.06
6504,-73.03
6505,-57.7
6506,-36.59
6507,-12.73
6508,10.39
6509,29.92
6510,44.42
6511,53.86
6512,59.11
6513,61.2
6514,60.77
6515,58.06
6516,53.32
6517,47.13
6518,40.66
6519,35.34
6520,32.32
6521,31.96
6522,33.64
6523,35.96
6524,37.38
6525,36.87
6526,34.2
6527,29.98
6528,25.2
6529,20.65
6530,16.58
6531,12.6
6532,7.98
6533,2.1
6534,-5.14
6535,-13.21
6536,-21.14
6537,-27.9
6538,-32.87
6539,-36.09
6540,-38.23
6541,-40.29
6542,-43.2
6543,-47.55
6544,-53.54
6545,-61.01
6546,-69.38
6547,-77.56
6548,-83.91
6549,-86.29
6550,-82.64
6551,-71.7
6552,-53.71
6553,-30.6
6554,-5.58
6555,17.87
6556,37.03
6557,50.59
6558,58.69
6559,62.37
6560,62.83
6561,61.01
6562,57.48
6563,52.72
6564,47.38
6565,42.41
6566,38.81
6567,37.24
6568,37.73
6569,39.54
6570,41.45
6571,42.19
6572,40.99
6573,37.75
6574,33.12
6575,28.07
6576,23.46
6577,19.61
6578,16.2
6579,12.44
6580,7.53
6581,1.09
6582,-6.57
6583,-14.57
6584,-21.83
6585,-27.52
6586,-31.43
6587,-34
6588,-36.07
6589,-38.54
6590,-42.07
6591,-47
6592,-53.4
6593,-61
6594,-69.05
6595,-76.2
6596,-80.51
6597,-79.82
6598,-72.49
6599,-58.11
6600,-37.89
6601,-14.45
6602,8.92
6603,29.27
6604,44.75
6605,54.84
6606,60.09
6607,61.49
6608,60.01
6609,56.4
6610,51.27
6611,45.33
6612,39.51
6613,34.84
6614,32.17
6615,31.81
6616,33.38
6617,35.87
6618,38
6619,38.67
6620,37.31
6621,34
6622,29.38
6623,24.29
6624,19.42
6625,15.06
6626,11.03
6627,6.84
6628,1.98
6629,-3.77
6630,-10.2
6631,-16.71
6632,-22.56
6633,-27.23
6634,-30.62
6635,-33.1
6636,-35.39
6637,-38.2
6638,-42.09
6639,-47.38
6640,-54.12
6641,-62.07
6642,-70.47
6643,-77.92
6644,-82.45
6645,-81.87
6646,-74.58
6647,-60.27
6648,-40.3
6649,-17.38
6650,5.2
6651,24.59
6652,39.08
6653,48.31
6654,52.84
6655,53.67
6656,51.74
6657,47.79
6658,42.45
6659,36.51
6660,30.92
6661,26.67
6662,24.45
6663,24.41
6664,26.02
6665,28.23
6666,29.87
6667,30.05
6668,28.47
6669,25.43
6670,21.61
6671,17.71
6672,14.13
6673,10.77
6674,7.15
6675,2.66
6676,-3.07
6677,-9.91
6678,-17.22
6679,-24.07
6680,-29.66
6681,-33.65
6682,-36.31
6683,-38.39
6684,-40.76
6685,-44.1
6686,-48.75
6687,-54.71
6688,-61.72
6689,-69.17
6690,-76.03
6691,-80.69
6692,-81.23
6693,-75.92
6694,-64
6695,-46.09
6696,-24.3
6697,-1.62
6698,18.98
6699,35.34
6700,46.56
6701,52.82
6702,54.94
6703,53.86
6704,50.42
6705,45.37
6706,39.53
6707,33.9
6708,29.5
6709,27.11
6710,26.95
6711,28.58
6712,30.98
6713,32.95
6714,33.52
6715,32.24
6716,29.31
6717,25.32
6718,20.95
6719,16.63
6720,12.35
6721,7.76
6722,2.42
6723,-3.9
6724,-10.98
6725,-18.21
6726,-24.79
6727,-30.12
6728,-34
6729,-36.77
6730,-39.17
6731,-42.06
6732,-46.2
6733,-52.05
6734,-59.57
6735,-68.12
6736,-76.36
6737,-82.37
6738,-84.04
6739,-79.62
6740,-68.4
6741,-51.1
6742,-29.72
6743,-7.05
6744,14.19
6745,31.98
6746,45.35
6747,54.19
6748,58.93
6749,60.15
6750,58.47
6751,54.6
6752,49.45
6753,44.11
6754,39.63
6755,36.8
6756,35.84
6757,36.4
6758,37.65
6759,38.64
6760,38.58
6761,37.1
6762,34.25
6763,30.39
6764,26.02
6765,21.48
6766,16.87
6767,12.03
6768,6.72
6769,0.75
6770,-5.83
6771,-12.65
6772,-19.22
6773,-24.99
6774,-29.61
6775,-33.11
6776,-35.86
6777,-38.55
6778,-41.98
6779,-46.88
6780,-53.65
6781,-62.09
6782,-71.22
6783,-79.26
6784,-83.9
6785,-82.89
6786,-74.86
6787,-59.86
6788,-39.53
6789,-16.64
6790,5.77
6791,25.27
6792,40.53
6793,51.27
6794,57.86
6795,60.79
6796,60.48
6797,57.4
6798,52.27
6799,46.27
6800,40.74
6801,36.88
6802,35.22
6803,35.51
6804,36.9
6805,38.3
6806,38.83
6807,38.09
6808,36.08
6809,33.09
6810,29.45
6811,25.37
6812,20.98
6813,16.33
6814,11.41
6815,6.25
6816,0.83
6817,-4.83
6818,-10.61
6819,-16.29
6820,-21.55
6821,-26.1
6822,-29.77
6823,-32.73
6824,-35.38
6825,-38.39
6826,-42.46
6827,-48.16
6828,-55.66
6829,-64.49
6830,-73.31
6831,-80.06
6832,-82.34
6833,-78.15
6834,-66.62
6835,-48.48
6836,-25.93
6837,-2.02
6838,20.27
6839,38.82
6840,52.65
6841,61.74
6842,66.58
6843,67.75
6844,65.79
6845,61.32
6846,55.25
6847,48.8
6848,43.28
6849,39.71
6850,38.44
6851,39.07
6852,40.57
6853,41.79
6854,41.85
6855,40.39
6856,37.59
6857,33.89
6858,29.72
6859,25.32
6860,20.74
6861,15.95
6862,10.93
6863,5.69
6864,0.26
6865,-5.34
6866,-11.08
6867,-16.86
6868,-22.43
6869,-27.48
6870,-31.72
6871,-35.09
6872,-37.81
6873,-40.45
6874,-43.75
6875,-48.44
6876,-55.01
6877,-63.33
6878,-72.5
6879,-80.76
6880,-85.8
6881,-85.35
6882,-78.01
6883,-63.75
6884,-44.08
6885,-21.57
6886,0.88
6887,20.86
6888,36.87
6889,48.36
6890,55.37
6891,58.22
6892,57.3
6893,53.22
6894,46.91
6895,39.71
6896,33.15
6897,28.51
6898,26.44
6899,26.72
6900,28.43
6901,30.31
6902,31.31
6903,30.9
6904,29.1
6905,26.34
6906,23.07
6907,19.57
6908,15.84
6909,11.73
6910,7.06
6911,1.8
6912,-3.92
6913,-9.8
6914,-15.45
6915,-20.56
6916,-24.94
6917,-28.58
6918,-31.65
6919,-34.48
6920,-37.5
6921,-41.27
6922,-46.34
6923,-53.05
6924,-61.11
6925,-69.41
6926,-75.95
6927,-78.29
6928,-74.33
6929,-63.2
6930,-45.69
6931,-24.12
6932,-1.54
6933,19.24
6934,36.38
6935,49.2
6936,57.82
6937,62.58
6938,63.72
6939,61.41
6940,56.1
6941,48.84
6942,41.23
6943,35.06
6944,31.62
6945,31.21
6946,33.03
6947,35.53
6948,37.14
6949,36.87
6950,34.59
6951,30.92
6952,26.71
6953,22.61
6954,18.68
6955,14.53
6956,9.58
6957,3.45
6958,-3.69
6959,-11.24
6960,-18.36
6961,-24.37
6962,-29.04
6963,-32.62
6964,-35.69
6965,-38.92
6966,-42.84
6967,-47.76
6968,-53.89
6969,-61.18
6970,-69.23
6971,-76.95
6972,-82.49
6973,-83.54
6974,-78.06
6975,-65.13
6976,-45.61
6977,-21.97
6978,2.39
6979,24.3
6980,41.69
6981,53.99
6982,61.74
6983,65.88
6984,67.13
6985,65.84
6986,62.17
6987,56.63
6988,50.24
6989,44.42
6990,40.5
6991,39.14
6992,40.06
6993,42.09
6994,43.78
6995,43.92
6996,42.01
6997,38.38
6998,33.8
6999,29.09
7000,24.69
7001,20.52
7002,16.11
7003,10.94
7004,4.76
7005,-2.26
7006,-9.59
7007,-16.56
7008,-22.62
7009,-27.58
7010,-31.6
7011,-35.09
7012,-38.48
7013,-42.09
7014,-46.14
7015,-50.84
7016,-56.55
7017,-63.59
7018,-71.81
7019,-80.19
7020,-86.61
7021,-88.34
7022,-82.92
7023,-69.3
7024,-48.47
7025,-23.3
7026,2.4
7027,25.13
7028,42.79
7029,54.84
7030,61.98
7031,65.32
7032,65.72
7033,63.7
7034,59.6
7035,54.03
7036,48
7037,42.77
7038,39.41
7039,38.39
7040,39.36
7041,41.23
7042,42.68
7043,42.6
7044,40.51
7045,36.64
7046,31.71
7047,26.56
7048,21.76
7049,17.43
7050,13.27
7051,8.77
7052,3.56
7053,-2.39
7054,-8.73
7055,-14.93
7056,-20.44
7057,-25
7058,-28.67
7059,-31.76
7060,-34.66
7061,-37.72
7062,-41.18
7063,-45.28
7064,-50.34
7065,-56.64
7066,-64.12
7067,-71.93
7068,-78.24
7069,-80.57
7070,-76.51
7071,-64.81
7072,-46.03
7073,-22.62
7074,1.86
7075,23.96
7076,41.41
7077,53.53
7078,60.89
7079,64.56
7080,65.37
7081,63.67
7082,59.64
7083,53.72
7084,46.99
7085,40.95
7086,37.01
7087,35.85
7088,37.11
7089,39.54
7090,41.56
7091,41.97
7092,40.32
7093,36.94
7094,32.57
7095,27.97
7096,23.51
7097,19.14
7098,14.57
7099,9.46
7100,3.67
7101,-2.66
7102,-9.17
7103,-15.4
7104,-20.99
7105,-25.76
7106,-29.74
7107,-33.17
7108,-36.31
7109,-39.47
7110,-42.97
7111,-47.19
7112,-52.58
7113,-59.41
7114,-67.41
7115,-75.4
7116,-81.25
7117,-82.41
7118,-76.74
7119,-63.52
7120,-43.87
7121,-20.54
7122,2.97
7123,23.6
7124,39.54
7125,50.37
7126,56.63
7127,59.13
7128,58.47
7129,55.01
7130,49.2
7131,41.95
7132,34.7
7133,29.03
7134,26.1
7135,26.12
7136,28.24
7137,30.89
7138,32.51
7139,32.16
7140,29.82
7141,26.28
7142,22.52
7143,19.24
7144,16.44
7145,13.51
7146,9.65
7147,4.31
7148,-2.4
7149,-9.84
7150,-17.01
7151,-23.09
7152,-27.69
7153,-31.03
7154,-33.7
7155,-36.41
7156,-39.77
7157,-44.15
7158,-49.71
7159,-56.4
7160,-63.8
7161,-70.96
7162,-76.28
7163,-77.77
7164,-73.59
7165,-62.82
7166,-46.02
7167,-25.19
7168,-3.29
7169,16.76
7170,32.88
7171,44.23
7172,51.03
7173,54.05
7174,53.99
7175,51.34
7176,46.5
7177,40.16
7178,33.43
7179,27.7
7180,24.17
7181,23.34
7182,24.78
7183,27.22
7184,29.19
7185,29.54
7186,27.93
7187,24.8
7188,20.98
7189,17.18
7190,13.57
7191,9.77
7192,5.14
7193,-0.79
7194,-7.89
7195,-15.43
7196,-22.35
7197,-27.78
7198,-31.42
7199,-33.74
7200,-35.77
7201,-38.67
7202,-43.3
7203,-49.97
7204,-58.3
7205,-67.23
7206,-75.13
7207,-80.01
7208,-79.89
7209,-73.41
7210,-60.27
7211,-41.57
7212,-19.55
7213,2.89
7214,23.12
7215,39.31
7216,50.73
7217,57.56
7218,60.39
7219,59.89
7220,56.72
7221,51.57
7222,45.38
7223,39.3
7224,34.48
7225,31.7
7226,31.14
7227,32.22
7228,33.91
7229,35.09
7230,34.95
7231,33.25
7232,30.23
7233,26.44
7234,22.35
7235,18.18
7236,13.82
7237,8.97
7238,3.37
7239,-3.03
7240,-9.93
7241,-16.76
7242,-22.93
7243,-27.99
7244,-31.88
7245,-34.9
7246,-37.67
7247,-40.95
7248,-45.47
7249,-51.74
7250,-59.75
7251,-68.77
7252,-77.21
7253,-82.82
7254,-83.19
7255,-76.62
7256,-62.77
7257,-42.98
7258,-19.89
7259,3.32
7260,23.97
7261,40.46
7262,52.34
7263,59.94
7264,63.8
7265,64.36
7266,61.98
7267,57.25
7268,51.16
7269,45.06
7270,40.29
7271,37.73
7272,37.42
7273,38.65
7274,40.22
7275,40.99
7276,40.23
7277,37.84
7278,34.19
7279,29.84
7280,25.28
7281,20.74
7282,16.2
7283,11.49
7284,6.44
7285,0.99
7286,-4.78
7287,-10.65
7288,-16.31
7289,-21.49
7290,-25.96
7291,-29.68
7292,-32.74
7293,-35.45
7294,-38.3
7295,-41.91
7296,-46.94
7297,-53.85
7298,-62.49
7299,-71.82
7300,-79.86
7301,-84.05
7302,-82.02
7303,-72.47
7304,-55.79
7305,-34.05
7306,-10.32
7307,12.27
7308,31.41
7309,45.95
7310,55.74
7311,61.13
7312,62.54
7313,60.41
7314,55.33
7315,48.32
7316,40.79
7317,34.31
7318,30.06
7319,28.48
7320,29.14
7321,30.92
7322,32.55
7323,33.05
7324,32.02
7325,29.66
7326,26.48
7327,23.03
7328,19.6
7329,16.17
7330,12.51
7331,8.33
7332,3.48
7333,-1.99
7334,-7.83
7335,-13.67
7336,-19.14
7337,-23.96
7338,-27.95
7339,-31.14
7340,-33.73
7341,-36.16
7342,-39.06
7343,-43.15
7344,-49.03
7345,-56.79
7346,-65.66
7347,-73.88
7348,-78.97
7349,-78.48
7350,-70.82
7351,-56.06
7352,-35.97
7353,-13.53
7354,8.08
7355,26.42
7356,40.29
7357,49.57
7358,54.68
7359,56.1
7360,54.15
7361,49.27
7362,42.33
7363,34.75
7364,28.17
7365,23.91
7366,22.39
7367,23.04
7368,24.55
7369,25.57
7370,25.26
7371,23.58
7372,21.08
7373,18.45
7374,15.97
7375,13.34
7376,9.85
7377,4.82
7378,-1.94
7379,-9.93
7380,-18.11
7381,-25.38
7382,-31
7383,-34.91
7384,-37.68
7385,-40.23
7386,-43.44
7387,-47.96
7388,-54.06
7389,-61.55
7390,-69.69
7391,-77.09
7392,-81.78
7393,-81.56
7394,-74.74
7395,-60.79
7396,-40.82
7397,-17.37
7398,6.31
7399,27.22
7400,43.45
7401,54.38
7402,60.46
7403,62.57
7404,61.55
7405,58.08
7406,52.77
7407,46.47
7408,40.32
7409,35.52
7410,32.94
7411,32.7
7412,34.08
7413,35.8
7414,36.59
7415,35.62
7416,32.84
7417,28.84
7418,24.4
7419,20.07
7420,15.87
7421,11.34
7422,5.82
7423,-1.06
7424,-9.09
7425,-17.49
7426,-25.16
7427,-31.22
7428,-35.38
7429,-38.16
7430,-40.64
7431,-44.13
7432,-49.62
7433,-57.43
7434,-66.91
7435,-76.48
7436,-83.86
7437,-86.56
7438,-82.58
7439,-71.12
7440,-52.9
7441,-30.09
7442,-5.71
7443,17.26
7444,36.59
7445,51.14
7446,60.76
7447,65.85
7448,66.96
7449,64.7
7450,59.83
7451,53.41
7452,46.79
7453,41.35
7454,38.06
7455,37.11
7456,37.93
7457,39.37
7458,40.25
7459,39.79
7460,37.8
7461,34.6
7462,30.72
7463,26.57
7464,22.23
7465,17.5
7466,12.04
7467,5.66
7468,-1.58
7469,-9.27
7470,-16.78
7471,-23.48
7472,-28.89
7473,-32.97
7474,-36.07
7475,-38.94
7476,-42.52
7477,-47.66
7478,-54.9
7479,-64.07
7480,-74.12
7481,-83.08
7482,-88.37
7483,-87.47
7484,-78.77
7485,-62.21
7486,-39.54
7487,-13.82
7488,11.42
7489,33.26
7490,50.07
7491,61.52
7492,68.11
7493,70.58
7494,69.5
7495,65.32
7496,58.71
7497,50.84
7498,43.34
7499,37.85
7500,35.37
7501,35.87
7502,38.22
7503,40.76
7504,41.99
7505,41.14
7506,38.37
7507,34.52
7508,30.5
7509,26.83
7510,23.42
7511,19.69
7512,14.96
7513,8.88
7514,1.64
7515,-6.07
7516,-13.34
7517,-19.46
7518,-24.16
7519,-27.68
7520,-30.64
7521,-33.74
7522,-37.61
7523,-42.68
7524,-49.22
7525,-57.22
7526,-66.17
7527,-74.79
7528,-81.02
7529,-82.36
7530,-76.74
7531,-63.36
7532,-43.27
7533,-19.2
7534,5.25
7535,26.75
7536,43.2
7537,53.96
7538,59.54
7539,60.84
7540,58.69
7541,53.67
7542,46.41
7543,37.98
7544,29.88
7545,23.74
7546,20.73
7547,21.01
7548,23.62
7549,26.83
7550,28.85
7551,28.56
7552,25.87
7553,21.6
7554,16.91
7555,12.71
7556,9.15
7557,5.64
7558,1.27
7559,-4.65
7560,-12.1
7561,-20.3
7562,-28.03
7563,-34.22
7564,-38.45
7565,-41.08
7566,-43.07
7567,-45.53
7568,-49.33
7569,-54.89
7570,-62.14
7571,-70.48
7572,-78.76
7573,-85.22
7574,-87.68
7575,-84.08
7576,-73.13
7577,-54.98
7578,-31.43
7579,-5.48
7580,19.45
7581,40.56
7582,56.25
7583,66.2
7584,70.97
7585,71.5
7586,68.68
7587,63.34
7588,56.38
7589,48.97
7590,42.43
7591,37.98
7592,36.29
7593,37.22
7594,39.73
7595,42.32
7596,43.49
7597,42.34
7598,38.81
7599,33.58
7600,27.69
7601,22.04
7602,16.97
7603,12.19
7604,7.06
7605,0.97
7606,-6.26
7607,-14.15
7608,-21.84
7609,-28.39
7610,-33.3
7611,-36.69
7612,-39.27
7613,-42.04
7614,-45.88
7615,-51.36
7616,-58.58
7617,-67.16
7618,-76.11
7619,-83.8
7620,-88.07
7621,-86.64
7622,-77.85
7623,-61.37
7624,-38.61
7625,-12.42
7626,13.66
7627,36.48
7628,54.03
7629,65.63
7630,71.75
7631,73.32
7632,71.43
7633,67.09
7634,61.37
7635,55.37
7636,50.12
7637,46.41
7638,44.48
7639,44.09
7640,44.64
7641,45.46
7642,46.03
7643,46.01
7644,45.17
7645,43.28
7646,40.16
7647,35.7
7648,30.09
7649,23.77
7650,17.34
7651,11.33
7652,5.94
7653,1.07
7654,-3.64
7655,-8.53
7656,-13.72
7657,-19.04
7658,-24.13
7659,-28.64
7660,-32.4
7661,-35.53
7662,-38.32
7663,-41.17
7664,-44.48
7665,-48.72
7666,-54.42
7667,-61.95
7668,-71.09
7669,-80.6
7670,-88.06
7671,-90.35
7672,-84.67
7673,-69.75
7674,-46.58
7675,-18.34
7676,10.67
7677,36.35
7678,56.11
7679,69.17
7680,76.24
7681,78.67
7682,77.69
7683,74.15
7684,68.65
7685,61.99
7686,55.29
7687,49.81
7688,46.57
7689,45.89
7690,47.23
7691,49.46
7692,51.27
7693,51.75
7694,50.62
7695,48.12
7696,44.73
7697,40.79
7698,36.32
7699,31.08
7700,24.83
7701,17.64
7702,9.93
7703,2.39
7704,-4.36
7705,-10.07
7706,-14.96
7707,-19.59
7708,-24.49
7709,-29.86
7710,-35.44
7711,-40.62
7712,-44.8
7713,-47.73
7714,-49.7
7715,-51.5
7716,-54.25
7717,-59.04
7718,-66.51
7719,-76.45
7720,-87.46
7721,-97.03
7722,-102.02
7723,-99.61
7724,-88.31
7725,-68.68
7726,-43.24
7727,-15.71
7728,10.15
7729,31.59
7730,47.31
7731,57.26
7732,62.06
7733,62.51
7734,59.42
7735,53.71
7736,46.55
7737,39.41
7738,33.65
7739,30.13
7740,28.98
7741,29.63
7742,31.15
7743,32.66
7744,33.6
7745,33.79
7746,33.17
7747,31.67
7748,29.11
7749,25.31
7750,20.3
7751,14.41
7752,8.24
7753,2.39
7754,-2.85
7755,-7.61
7756,-12.31
7757,-17.34
7758,-22.79
7759,-28.34
7760,-33.43
7761,-37.6
7762,-40.72
7763,-43.14
7764,-45.47
7765,-48.34
7766,-52.27
7767,-57.61
7768,-64.55
7769,-72.88
7770,-81.71
7771,-89.21
7772,-92.76
7773,-89.69
7774,-78.3
7775,-58.76
7776,-33.34
7777,-5.78
7778,19.94
7779,40.78
7780,55.33
7781,63.75
7782,67.14
7783,66.75
7784,63.61
7785,58.47
7786,52.04
7787,45.27
7788,39.28
7789,35.12
7790,33.47
7791,34.3
7792,36.86
7793,39.88
7794,42.02
7795,42.25
7796,40.15
7797,35.95
7798,30.38
7799,24.36
7800,18.62
7801,13.51
7802,8.87
7803,4.16
7804,-1.19
7805,-7.48
7806,-14.51
7807,-21.63
7808,-28.01
7809,-33.05
7810,-36.69
7811,-39.38
7812,-41.89
7813,-44.93
7814,-49
7815,-54.35
7816,-61.09
7817,-69.17
7818,-78.12
7819,-86.61
7820,-92.38
7821,-92.65
7822,-85.02
7823,-68.63
7824,-44.78
7825,-16.73
7826,11.27
7827,35.44
7828,53.49
7829,64.98
7830,70.87
7831,72.62
7832,71.5
7833,68.25
7834,63.31
7835,57.22
7836,50.81
7837,45.15
7838,41.27
7839,39.72
7840,40.35
7841,42.35
7842,44.56
7843,45.87
7844,45.54
7845,43.42
7846,39.82
7847,35.28
7848,30.3
7849,25.18
7850,19.97
7851,14.6
7852,8.99
7853,3.16
7854,-2.77
7855,-8.62
7856,-14.28
7857,-19.71
7858,-24.96
7859,-30.06
7860,-34.99
7861,-39.66
7862,-43.99
7863,-48
7864,-52.02
7865,-56.74
7866,-63.03
7867,-71.5
7868,-81.84
7869,-92.31
7870,-99.92
7871,-101.19
7872,-93.53
7873,-76.4
7874,-51.76
7875,-23.5
7876,3.94
7877,27.02
7878,44.03
7879,55.05
7880,61.18
7881,63.65
7882,63.27
7883,60.42
7884,55.48
7885,49.24
7886,42.93
7887,37.92
7888,35.17
7889,34.92
7890,36.55
7891,38.94
7892,40.86
7893,41.5
7894,40.56
7895,38.24
7896,34.98
7897,31.11
7898,26.81
7899,22.07
7900,16.87
7901,11.24
7902,5.35
7903,-0.63
7904,-6.59
7905,-12.53
7906,-18.47
7907,-24.38
7908,-30.09
7909,-35.32
7910,-39.8
7911,-43.51
7912,-46.72
7913,-50.05
7914,-54.37
7915,-60.52
7916,-69.02
7917,-79.55
7918,-90.64
7919,-99.73
7920,-103.68
7921,-99.83
7922,-87.01
7923,-66.2
7924,-40.34
7925,-13.34
7926,11.15
7927,30.73
7928,44.56
7929,52.99
7930,56.76
7931,56.56
7932,52.92
7933,46.5
7934,38.48
7935,30.54
7936,24.45
7937,21.48
7938,21.92
7939,24.97
7940,29.08
7941,32.59
7942,34.29
7943,33.79
7944,31.44
7945,27.97
7946,24.11
7947,20.22
7948,16.24
7949,11.79
7950,6.53
7951,0.31
7952,-6.64
7953,-13.77
7954,-20.46
7955,-26.22
7956,-30.87
7957,-34.58
7958,-37.8
7959,-41.17
7960,-45.37
7961,-51.08
7962,-58.77
7963,-68.41
7964,-79.13
7965,-88.99
7966,-95.27
7967,-95.13
7968,-86.7
7969,-69.85
7970,-46.48
7971,-19.94
7972,6.02
7973,28.42
7974,45.68
7975,57.61
7976,64.83
7977,68.06
7978,67.78
7979,64.37
7980,58.4
7981,51.01
7982,43.81
7983,38.45
7984,36.02
7985,36.57
7986,39.14
7987,42.1
7988,43.87
7989,43.51
7990,40.99
7991,36.99
7992,32.43
7993,27.98
7994,23.77
7995,19.41
7996,14.37
7997,8.23
7998,0.97
7999,-6.98
8000,-14.97
8001,-22.36
8002,-28.73
8003,-34.01
8004,-38.42
8005,-42.39
8006,-46.41
8007,-50.98
8008,-56.7
8009,-64.07
8010,-73.28
8011,-83.68
8012,-93.46
8013,-99.74
8014,-99.29
8015,-89.78
8016,-70.82
8017,-44.47
8018,-14.63
8019,14.22
8020,38.52
8021,56.51
8022,68.27
8023,74.92
8024,77.75
8025,77.59
8026,74.81
8027,69.81
8028,63.41
8029,56.92
8030,51.8
8031,49.1
8032,48.97
8033,50.61
8034,52.68
8035,53.84
8036,53.31
8037,51
8038,47.38
8039,43.1
8040,38.6
8041,33.96
8042,29
8043,23.5
8044,17.34
8045,10.64
8046,3.62
8047,-3.46
8048,-10.39
8049,-17.03
8050,-23.27
8051,-29
8052,-34.11
8053,-38.58
8054,-42.53
8055,-46.29
8056,-50.49
8057,-55.9
8058,-63.3
8059,-72.95
8060,-84.11
8061,-94.67
8062,-101.49
8063,-101.18
8064,-91.45
8065,-72.13
8066,-45.48
8067,-15.54
8068,13.25
8069,37.46
8070,55.49
8071,67.42
8072,74.3
8073,77.22
8074,76.88
8075,73.65
8076,68.07
8077,61.14
8078,54.28
8079,48.95
8080,46.04
8081,45.61
8082,46.87
