,BVP_1
497,-36.52
498,-39.96
499,-44.79
500,-51.04
501,-58.29
502,-65.63
503,-71.64
504,-74.56
505,-72.68
506,-64.88
507,-51.2
508,-32.94
509,-12.46
510,7.47
511,24.49
512,37.17
513,45.13
514,48.88
515,49.29
516,47.32
517,43.79
518,39.38
519,34.77
520,30.6
521,27.45
522,25.77
523,25.68
524,26.93
525,28.88
526,30.64
527,31.32
528,30.32
529,27.53
530,23.32
531,18.45
532,13.64
533,9.34
534,5.49
535,1.65
536,-2.68
537,-7.75
538,-13.37
539,-18.95
540,-23.8
541,-27.46
542,-29.92
543,-31.62
544,-33.26
545,-35.52
546,-38.85
547,-43.43
548,-49.2
549,-55.85
550,-62.72
551,-68.64
552,-71.98
553,-70.97
554,-64.31
555,-51.78
556,-34.52
557,-14.8
558,4.65
559,21.49
560,34.33
561,42.91
562,47.68
563,49.41
564,48.71
565,46.07
566,41.95
567,37.06
568,32.29
569,28.61
570,26.69
571,26.61
572,27.87
573,29.46
574,30.32
575,29.67
576,27.23
577,23.32
578,18.64
579,13.9
580,9.56
581,5.64
582,1.73
583,-2.68
584,-7.95
585,-13.98
586,-20.23
587,-25.91
588,-30.39
589,-33.47
590,-35.52
591,-37.26
592,-39.56
593,-43.08
594,-48.14
595,-54.67
596,-62.12
597,-69.43
598,-75.1
599,-77.35
600,-74.6
601,-65.93
602,-51.53
603,-32.84
604,-12.17
605,7.87
606,25.13
607,38.31
608,47.14
609,52.07
610,53.9
611,53.47
612,51.42
613,48.34
614,44.77
615,41.29
616,38.5
617,36.83
618,36.41
619,36.92
620,37.75
621,38.12
622,37.38
623,35.21
624,31.62
625,26.96
626,21.73
627,16.44
628,11.39
629,6.64
630,1.98
631,-2.89
632,-8.22
633,-14
634,-19.89
635,-25.37
636,-30
637,-33.6
638,-36.43
639,-39.08
640,-42.2
641,-46.29
642,-51.6
643,-58.09
644,-65.41
645,-72.84
646,-79.16
647,-82.69
648,-81.61
649,-74.52
650,-61.08
651,-42.36
652,-20.64
653,1.17
654,20.45
655,35.53
656,45.92
657,52.09
658,55
659,55.58
660,54.52
661,52.32
662,49.43
663,46.36
664,43.68
665,41.88
666,41.2
667,41.5
668,42.31
669,42.97
670,42.8
671,41.37
672,38.54
673,34.54
674,29.82
675,24.87
676,20.05
677,15.49
678,11.04
679,6.49
680,1.67
681,-3.38
682,-8.41
683,-13.11
684,-17.28
685,-20.93
686,-24.34
687,-27.85
688,-31.73
689,-36.02
690,-40.65
691,-45.52
692,-50.77
693,-56.69
694,-63.43
695,-70.54
696,-76.65
697,-79.64
698,-77.26
699,-68.13
700,-52.43
701,-32.06
702,-10.07
703,10.46
704,27.35
705,39.75
706,47.98
707,52.83
708,55
709,54.9
710,52.74
711,48.96
712,44.39
713,40.12
714,37.2
715,36.17
716,36.86
717,38.5
718,40.06
719,40.68
720,39.95
721,37.95
722,35.07
723,31.71
724,28.12
725,24.28
726,20.03
727,15.26
728,10.06
729,4.67
730,-0.6
731,-5.52
732,-10.07
733,-14.36
734,-18.55
735,-22.67
736,-26.6
737,-30.19
738,-33.36
739,-36.27
740,-39.36
741,-43.25
742,-48.56
743,-55.53
744,-63.73
745,-71.84
746,-77.78
747,-79.27
748,-74.57
749,-63.21
750,-46.29
751,-26.18
752,-5.68
753,12.84
754,28.06
755,39.65
756,47.85
757,52.93
758,54.96
759,53.95
760,50.3
761,45.02
762,39.59
763,35.46
764,33.5
765,33.66
766,35.05
767,36.45
768,36.88
769,35.91
770,33.7
771,30.68
772,27.29
773,23.69
774,19.79
775,15.39
776,10.41
777,4.92
778,-0.83
779,-6.5
780,-11.78
781,-16.48
782,-20.55
783,-24.08
784,-27.23
785,-30.2
786,-33.26
787,-36.69
788,-40.89
789,-46.2
790,-52.72
791,-59.98
792,-66.72
793,-71.04
794,-70.87
795,-64.77
796,-52.48
797,-35.26
798,-15.47
799,4.24
800,21.69
801,35.73
802,46.16
803,53.28
804,57.39
805,58.66
806,57.16
807,53.28
808,47.93
809,42.39
810,38
811,35.57
812,35.15
813,35.97
814,36.87
815,36.75
816,35.07
817,31.87
818,27.71
819,23.27
820,18.99
821,14.94
822,10.84
823,6.34
824,1.17
825,-4.56
826,-10.48
827,-16.1
828,-21
829,-25.04
830,-28.34
831,-31.25
832,-34.14
833,-37.32
834,-41.08
835,-45.7
836,-51.45
837,-58.38
838,-65.98
839,-72.99
840,-77.41
841,-77.05
842,-70.33
843,-56.98
844,-38.36
845,-17.06
846,3.93
847,22.19
848,36.44
849,46.6
850,53.3
851,57.25
852,58.93
853,58.48
854,56.07
855,52.19
856,47.68
857,43.63
858,40.9
859,39.87
860,40.22
861,41.14
862,41.64
863,40.92
864,38.68
865,35.09
866,30.68
867,26.02
868,21.44
869,16.99
870,12.48
871,7.68
872,2.5
873,-2.94
874,-8.32
875,-13.33
876,-17.8
877,-21.73
878,-25.27
879,-28.62
880,-31.91
881,-35.26
882,-38.8
883,-42.85
884,-47.81
885,-54
886,-61.28
887,-68.73
888,-74.54
889,-76.43
890,-72.41
891,-61.6
892,-44.77
893,-24.19
894,-2.88
895,16.38
896,31.91
897,43.28
898,50.95
899,55.67
900,57.91
901,57.86
902,55.61
903,51.62
904,46.79
905,42.33
906,39.23
907,37.95
908,38.19
909,39.11
910,39.77
911,39.44
912,37.9
913,35.32
914,32.1
915,28.54
916,24.78
917,20.76
918,16.36
919,11.54
920,6.41
921,1.21
922,-3.8
923,-8.47
924,-12.79
925,-16.88
926,-20.87
927,-24.81
928,-28.63
929,-32.22
930,-35.51
931,-38.68
932,-42.19
933,-46.66
934,-52.58
935,-59.89
936,-67.66
937,-74.1
938,-76.99
939,-74.39
940,-65.41
941,-50.61
942,-31.86
943,-11.78
944,7.16
945,23.24
946,35.7
947,44.53
948,50.02
949,52.44
950,51.97
951,48.96
952,44.14
953,38.68
954,33.94
955,30.99
956,30.23
957,31.23
958,32.97
959,34.3
960,34.37
961,32.94
962,30.24
963,26.81
964,23.07
965,19.23
966,15.23
967,10.94
968,6.27
969,1.3
970,-3.76
971,-8.74
972,-13.45
973,-17.85
974,-21.92
975,-25.67
976,-29.12
977,-32.32
978,-35.47
979,-38.96
980,-43.31
981,-48.93
982,-55.79
983,-63.11
984,-69.29
985,-72.25
986,-70.07
987,-61.75
988,-47.65
989,-29.52
990,-9.89
991,8.72
992,24.5
993,36.71
994,45.38
995,50.9
996,53.59
997,53.61
998,51.16
999,46.81
1000,41.58
1001,36.76
1002,33.48
1003,32.2
1004,32.64
1005,33.85
1006,34.7
1007,34.35
1008,32.5
1009,29.41
1010,25.63
1011,21.67
